Terms,Definition 1,Citation 1,Definition 2,Citation 2,Definition 3,Citation 3,Definition 4,Citation 4,Definition 5,Citation 5,Related terms and synonyms,Legal definition applicable
data governance,A set of processes that ensures that data assets are formally managed throughout the enterprise. A data governance model establishes authority and management and decision making parameters related to the data produced or managed by the enterprise.,CSRC,"refers to a system, including policies, people, practices, and technologies, necessary to ensure data management within an organization",NIST_1500,,,,,,,,
data mining ,"computational process that extracts patternsby analysing quantitative data from different perspectives and dimensions, categorizingthem, and summarizing potential relationships and impacts",aime_measurement_2022 citinig ISO/IEC 22989,"the process of data analysis and information extraction from large amounts of datasets with machine learning, statistical approaches. and many others.","Ranschaert,_Erik",,,,,,,,
data point,a discrete unit of information.,TechTarget_data_point,,,,,,,,,,
data preparation,"We define data preparation as the set of preprocessing operations performed in early stages of a data processing pipeline, i.e., data transformations at the structural and syntactical levels",hameed_data_2020,,,,,,,,,,
data proxy,Data that are closely related to and serve in place of data that are either unobservable or immeasurable.,Comptroller_Office,,,,,,,,,,
data quality,degree to which the characteristics of data satisfy stated and implied needs when used under specified conditions,IEEE_Soft_Vocab,"The dimensions of the IMF definition of ""data quality"" are:

- integrity;
- methodological soundness;
- accuracy and reliability;
- serviceability;
- accessibility.

There are a number of prerequisites for quality. These comprise:

- legal and institutional environment;
- resources;
- quality awareness.",OECD,,,,,,,,
data science,Methodology for the synthesis of useful knowledge directly from data through a process of discovery or of hypothesis formulation and hypothesis testing.,NIST_1500,"Interdisciplinary science that uses statistics, algorithms, and other methods to extract meaningful and useful patterns from data sets—sometimes known as “big data.” Today, machine learning is often used in this field. Next to analysis of data, data science is also concerned with the capturing, preparation, and interpretation of data.",AI_Ethics_Mark_Coeckelbergh,,,,,,,artificial intelligence (AI); machine learning (ML),
data scientist,"A practitioner who has sufficient knowledge in the overlapping regimes of business needs, domain knowledge, analytical skills, and software and systems engineering to manage the end-to-end data processes in the analytics life cycle.",NIST_1500,,,,,,,,,,
data seeding,"The intentional introduction of initial state conditions, influencing factors, and outcomes (both successful and unsuccessful) in a data fabric to create sufficient machine learning analysis signals to enable encouragement/discouragement to enrich deterministic relationships between data elements in a given information domain. ",IEEE_Guide_IPA,,,,,,,,,,
data wrangling ,"process by which the data required by an application is identified, extracted, cleaned and integrated, to yield a data set that is suitable for exploration and analysis.","Furche,_Tim",,,,,,,,,,
decision,A conclusion reached after consideration of business rules and relevant data within a given process.,IEEE_Guide_IPA,Types of statements in which a choice between two or more possible outcomes controls which set of actions will result.,IEEE_Soft_Vocab,,,,,,,,
decision point,"A point within a business process where the process flow can take one of several alternative paths, including recursive.",IEEE_Guide_IPA,,,,,,,,,,
decision tree,"Tree‐structure resembling a flowchart, where every node represents a test to an attribute, each branch represents the possible outcomes of that test, and the leaves represent the class labels.","Reznik,_Leon",,,,,,,,,,
decision-making,"the cognitive process resulting in the selection of a belief or a course of action among several possible alternative options. It could be either rational or irrational. The decision-making process is a reasoning process based on assumptions of values, preferences and beliefs of the decision-maker. Every decision-making process produces a final choice, which may or may not prompt action.",Wikipedia_Decision-making,"the cognitive process of choosing between two or more alternatives, ranging from the relatively clear cut (e.g., ordering a meal at a restaurant) to the complex (e.g., selecting a mate). Psychologists have adopted two converging strategies to understand decision making: (a) statistical analysis of multiple decisions involving complex tasks and (b) experimental manipulation of simple decisions, looking at the elements that recur within these decisions.",APA_decision_making,,,,,,,,
decision support system,a computer program application used to improve a company's decision-making capabilities. It analyzes large amounts of data and presents an organization with the best possible options available[; they] bring together data and knowledge from different areas and sources to provide users with information beyond the usual reports and summaries. This is intended to help people make informed decisions.,TechTarget_decision_support_system,,,,,,,,,,
decommission,"the total or partial removal of existing components and their corresponding sub-components from Production and any relevant environment, minimizing risks and impacts, ensuring policy compliance, and maximizing the financial benefits (i.e., optimizing the cost reduction). ",IG1190M_AIOps_Decommission_v1.0.0,,,,,,,,,,
deductive analytics,"Insights, reporting, and information answering the question, ""What would likely happen IF…?” Deductive analytics evaluates causes and outcomes of possible future events.",IEEE_Guide_IPA,,,,,,,,,deductive reasoning,
deep learning,"Deep learning is a broad family of techniques for machine learning in which hypotheses take the form of complex algebraic circuits with tunable connection strengths. The word “deep” refers to the fact that the circuits are typically organized into many layers, which means that computation paths from inputs to outputs have many steps. Deep learning is currently the most widely used approach for applications such as visual object recognition, machine translation, speech recognition, speech synthesis, and image synthesis; it also plays a significant role in reinforcement learning applications.",Russell_and_Norvig,"A form of machine learning that uses neural networks with several layers of ""neurons"": simple interconnected processing units that interact.",AI_Ethics_Mark_Coeckelbergh,,,,,"[an approach to AI that allows] computers to learn from experience and understand the world in terms of a hierarchy of concepts, with each concept defined through its relation to simpler concepts. By gathering knowledge from experience, this approach avoids the need for human operators to formally specify all the knowledge that the computer needs. The hierarchy of concepts enables the computer to learn complicated concepts by building them out of simpler ones. If we draw a graph showing how these concepts are built on top of each other, the graph is deep, with many layers.",deeplearningbook_intro,,
deepfake,"AI-generated or manipulated image, audio or video content that resembles existing persons, objects, places or other entities or events and
would falsely appear to a person to be authentic or truthful.",TTC6_Taxonomy_Terminology,,,,,,,,,,
deletion,"Of an <X>, the action of destroying an instantiated <X>.",IEEE_Soft_Vocab,,,,,,,,,,
denial-of-service,"The prevention of authorized access to resources or the delaying of time-critical operations. (Time-critical may be milliseconds or it maybe hours, depending upon the service provided).",SP800-12,An attack that prevents or impairs the authorized use of information system resources or services.,CISA,"when legitimate users are unable to access information systems, devices, or other network resources due to the actions of a malicious cyber threat actor. Services affected may include email, websites, online accounts (e.g., banking), or other services that rely on the affected computer or network. A denial-of-service condition is accomplished by flooding the targeted host or network with traffic until the target cannot respond or simply crashes, preventing access for legitimate users. DoS attacks can cost an organization both time and money while their resources and services are inaccessible.",ST04-015,,,,,,
dependability,"<of an item> ability to perform as and when required (note 1: includes availability, reliability, recoverability, maintainability, and maintenance support performance, and, in some cases, other characteristics such as durability, safety and security. Note 2: used as a collective term for the time-related quality characteristics of an item).",ISO/IEC_TS_5723:2022(en),,,,,,,,,,
deployment,Phase of a project in which a system is put into operation and cutover issues are resolved,IEEE_Soft_Vocab,,,,,,,,,,
descriptive analytics,"Insights, reporting, and information answering the question, “Why did something happen?” Descriptive analytics determines information useful to understanding the cause(s) of an event(s).",IEEE_Guide_IPA,,,,,,,,,,
deterministic,"modelling [that] produces consistent outcomes for a given set of inputs, regardless of how many times the model is recalculated. The mathematical characteristics are known in this case. None of them is random, and each problem has just one set of specified values as well as one answer or solution. The unknown components in a deterministic model are external to the model. It deals with the definitive outcomes as opposed to random results and doesn’t make allowances for error.",Sourabh_Mehta_deterministic,,,,,,,,,,
deterministic algorithm,"An algorithm that, given the same inputs, always produces the same outputs.",CSRC,,,,,,,,,,
developer,"A general term that includes developers or manufacturers of systems, system components, or system services; systems integrators; vendors; and product resellers. Development of systems, components, or services can occur internally within organizations or through external entities. ",SP800-37,"Individual or organization that performs development activities (including requirements analysis, design, testing through acceptance) during the system or software life‐cycle process.",IEEE_Soft_Vocab,,,,,,,,
diagnostic analytics,"Insights, reporting, and information answering the question, “Why did something happen?” Diagnostic analytics determines information useful to understanding the cause(s) of an event(s). ",IEEE_Guide_IPA,,,,,,,,,,
diagnostics,Pertaining to the detection and isolation of faults or failures,IEEE_Software_Vocab,,,,,,,,,,
differential privacy,"Differential privacy is a method for measuring how much information the output of a computation reveals about an individual. It is based on the randomised injection of ""noise"". Noise is a random alteration of data in a dataset so that values such as direct or indirect identifiers of individuals are harder to reveal. An important aspect of differential privacy is the concept of “epsilon” or ɛ, which determines the level of added noise. Epsilon is also known as the “privacy budget” or “privacy parameter”.",privacy-enhancing_technologies,"For two datasets D and D' that differ in at most one element, a randomized algorithm $M$ guarantees \emph{$(\epsilon, \delta)$-differential privacy} for any subset of the output $S$ if $M$ satisfies: \begin{equation}
    Pr[M(D) \in S] \leq exp(\epsilon)*Pr[M(D') \in S] + \delta
\end{equation}
Furthermore, when $\delta = 0$ an algorithm M is said to guarantee \emph{$\epsilon$-differential privacy}",gong_differential_2020,,,,,,,,
differential validity,"Differential validity states that the validities in two applicant populations are unequal, that is, pi != pa.",hunter_differential_1979,,,,,,,,,,
digital labor,Digital automation of information technology systems and/or business processes that successfully delivers work output previously performed by human labor or new work output that would typically or alternatively have been performed by human labor.,IEEE_Guide_IPA,,,,,,,,,,
digital workforce,The collective suite of automation technologies delivering existing or new work output as applied in a business; the manifestation of digital labor.,IEEE_Guide_IPA,,,,,,,,,,
dimension,"The dimension of an object is a topological measure of the size of its covering properties. Roughly speaking, it is the number of coordinates needed to specify a point on the object.",wolfram_math_2022,Distinct components that a multidimensional construct encompasses,IEEE_Soft_Vocab,,,,,,,,
dimension reduction,Dimensionality reduction is the process of taking data in a high dimensional space and mapping it into a new space whose dimensionality is much smaller,"Shalev-Shwartz,_Shai",,,,,,,,,,
disparate impact,"For Predictor Y and Sensitive Impact S. Definition 6.2 Disparate Impact (DI) =
P[Yˆ = 1 | S != 1]/P[Yˆ = 1 | S = 1]
",friedler_comparative_2019,,,,,,,,,,
disparate treatment,"Intentional discrimination, including (i) decisions explicitly based on protected characteristics; and (ii) intentional discrimination via proxy variables (e.g literacy tests for voting eligibility).","Lipton,_Zachary",,,,,,,,,,
distributional robustness,Optimizing the predictive accuracy for a whole class of distributions instead of just a single target distribution.,"Meinshausen,_Nicolai",,,,,,,,,,
diversity,"the practice of including the many communities, identities, races, ethnicities, backgrounds, abilities, cultures, and beliefs of the American people, including underserved communities.",EO_DEIA_2021,,,,,,,,,inclusion,
documentation,"Collection of documents on a given subject; written or pictorial information describing, defining, specifying, reporting, or certifying activities, requirements, procedures, or results.",IEEE_Soft_Vocab,,,,,,,,,,
domain,"Distinct scope, within which common characteristics are exhibited, common rules observed, and over which a distribution transparency is preserved.",IEEE_Soft_Vocab,"A set of elements, data, resources, and functions that share a commonality in combinations of: (1) roles supported, (2) rules governing their use, and (3) protection needs.",SP800-160,"<artificial intelligence> specific field of knowledgeor expertise","aime_measurement_2022, citing ISO/IEC 2382",,,,,,
domain expertise,Domain expertise implies knowledge and understanding of the essential aspects of a specific field of inquiry.,McCue_Colleen,,,,,,,,,,
domain shift,Differences between the source and target domain data,"Stacke,_Karin",,,,,,,,,distributional shift,
drinking your own champagne,The practice in which tech workers use their own product consistently to see how well it works and where improvements can be made.,kelley_dogfooding_2022,,,,,,,,,"dogfooding, eating your own dogfood",
dynamic process,The process in which one or more paths are defined and may be utilized based on the conditions present at the time of execution.,IEEE_Guide_IPA,,,,,,,,,,
edge case,"a problem or situation, especially in computer programming, that only happens at the highest or lowest end of a range of possible values or in extreme situations:",cambridge_dictionary_2022,,,,,,,,,,
embedding,"An embedding is a representation of a topological object, manifold, graph, field, etc. in a certain space in such a way that its connectivity or algebraic properties are preserved. For example, a field embedding preserves the algebraic structure of plus and times, an embedding of a topological space preserves open sets, and a graph embedding preserves connectivity.

One space X is embedded in another space Y when the properties of Y restricted to X are the same as the properties of X. ",wolfram_math_2022,,,,,,,,,,
emulation,"The use of a data processing system to imitate another data processing system, so that the imitating system accepts the same data, executes the same programs, and achieves the same results as the imitated system.",IEEE_Soft_Vocab,,,,,,,,,,
end event,"An activity, task, or output that describes or defines the conclusion of a process.",IEEE_Guide_IPA,,,,,,,,,,
engineer,"n. 3a: a designer or builder of engines; b: a person who is trained in or follows as a profession a branch of engineering; c: a person who carries through an enterprise by skillful or artful contrivance; 4: a person who runs or supervises an engine or an apparatus.

v. 1: to lay out, construct, or manage as an engineer.",Merriam-Webster_engineer,,,,,,,,,,
ensemble,a machine learning paradigm where multiple models (often called “weak learners”) are trained to solve the same problem and combined to get better results. The main hypothesis is that when weak models are correctly combined we can obtain more accurate and/or robust models.,Joseph_Rocca_Ensemble_methods,,,,,,,,,,
environment,"Anything affecting a subject system or affected by a subject system through interactions with it, or anything sharing an interpretation of interactions with a subject system",IEEE_Soft_Vocab,,,,,,,,,,
equality of odds,"(Equalized odds). We say that a predictor bY satisfies equalized odds with respect to protected attribute A and outcome Y, if bY and A are independent conditional on Y.",hardt_equality_2016,"The probability of a person in the positive class being correctly assigned a positive outcome and the probability of a person in a negative class being incorrectly assigned a positive outcome should both be the same for the protected and unprotected group members. In other words, the protected and unprotected groups should have equal rates for true positives and false positives.","Mehrabi,_Ninareh",,,,,,,,
equality of opportunity,(Equal opportunity). We say that a binary predictor bY satisfies equal opportunity with respect to A and Y if Pr{bY = 1 | A = 0; Y = 1} = Pr{bY = 1 | A = 1; Y = 1}.,hardt_equality_2016,"The probability of a person in positive class being assigned to a positive outcome should be equal for both protected and unprotected group members. In other words, the protected and unprotected groups should have equal true positive rates.","Mehrabi,_Ninareh",,,,,,,,
error,The difference between the observed value of an index and its “true” value. Errors maybe random or systematic. Random errors are generally referred to as “errors”. Systematic errors are called “biases”.,OECD,"Difference between a computed, observed, or measured value or condition and the true, specified, or theoretically correct value or condition.",IEEE_Soft_Vocab,measured quantity value minus a reference quantity value,"aime_measurement_2022, citing ISO/IEC Guide 99",,,,,,
error propagation,the way in which uncertainties in the variables affect the uncertainty in the calculated results.,Dorf_2018,,,,,,,,,propgation of uncertainty; proprgation of error,
ethics,"definition 1a: ""a set of moral principles : a theory or system of moral values""; definition 1b: ""the principles of conduct governing an individual or a group""; definition 1c: ""a consciousness of moral importance""; definition 1d: ""a guiding philosophy""; definition 2: ""a set of moral issues or aspects (such as rightness)""; definition 3: ""the discipline dealing with what is good and bad and with moral duty and obligation""",Merriam-Webster_ethic,"n.
1. the branch of philosophy that investigates both the content of moral judgments (i.e., what is right and what is wrong) and their nature (i.e., whether such judgments should be considered objective or subjective). The study of the first type of question is sometimes termed normative ethics and that of the second metaethics. Also called moral philosophy.

2. the principles of morally right conduct accepted by a person or a group or considered appropriate to a specific field. In psychological research, for example, proper ethics requires that participants be treated fairly and without harm and that investigators report results and findings honestly. See code of ethics; professional ethics; research ethics. —ethical adj.",APA_ethics,,,,,,,,
ethics by design,"An approach to technology ethics and a key component of responsible innovation that aims to integrate ethics in the design and development stage of the technology. Sometimes formulated as ""embedding values in design."" Similar terms are ""value-sensitive design"" and ""ethically aligned design.""",AI_Ethics_Mark_Coeckelbergh,,,,,,,,,,
evaluation,"(1) systematic determination of the extent to
which an entity meets its specified criteria; (2) action that assesses the value of
something","aime_measruement_2022, citing ISO/IEC 24765",,,,,,,,,"Test, Evaluation, Verification and Validation (TEVV)",
example,"definition 1: ""one that serves as a pattern to be imitated or not to be imitated""; definition 3: ""one that is representative of all of a group or type""; definition 4: ""a parallel or closely similar case especially when serving as a precedent or model""; definition 5: ""an instance (such as a problem to be solved) serving to illustrate a rule or precept or to act as an exercise in the application of a rule""",Merriam-Webster_example,,,,,,,,,,
exception,"An event that occurs during the performance of the process that causes a diversion from the normal flow of the process. Exceptions are generated by an unanticipated event within a process due to an undefined or unknown input, undefined or unexpected outcome, or unforeseen sequencing of a task or event.",IEEE_Guide_IPA,,,,,,,,,,
execute,"To carry out a plan, a task command, or another instruction",SP1011,"To carry out an instruction, process, or computer program; directing, managing, performing, and accomplishing the project work, providing the deliverables, and providing work performance information.",IEEE_Soft_Vocab,,,,,,,,
experiment,"a series of observations conducted under controlled conditions to study a relationship with the purpose of drawing causal inferences about that relationship. An experiment involves the manipulation of an independent variable, the measurement of a dependent variable, and the exposure of various participants to one or more of the conditions being studied. Random selection of participants and their random assignment to conditions also are necessary in experiments. ",apa_experiment_2023,"A study of a fundamental physical process by the use of one or more computer simulators. Like empirical experiments, input variables (factors) are systematically changed to assess their impact upon simulator outputs (responses). Unlike empirical experiments, the simulator responses are deterministic, and this has implications: Computer experiments can appropriately have their factors with intermediate levels and the scope, especially the number of runs, can be more ambitious. Further, modeling methods based on interpolators (especially kriging) emerge as a viable approach. Good practice is to use Latin hypercubes for computer experiments, and advanced nonparametric modeling methods such as kriging, neural networks, and multivariate adaptive regression splines (MARS) in the data analysis stage. Important applications of computer experimental methods are for determining process optima and for evaluating process tolerances.",nist_statistics_2012,,,,,,,,
expert system,"A form of AI that attempts to replicate a human's expertise in an area, such as medical diagnosis. It combines a knowledge base with a set of hand-coded rules for applying that knowledge. Machine-learning techniques are increasingly replacing hand coding.","Hutson,_Matthew",Intelligent computer program that uses knowledge and inference procedures to solve problems that are difficult enough to require significant human expertise for their solution.,"Reznik,_Leon",An expert system is an intelligent computer program that uses knowledge and inference procedures to solve problems that are difficult enough to require significant human expertise for their solution.,OECD,Computer system that provides for expertly solving problems in a given field or application area by drawing inferences from a knowledge base developed from human expertise.,IEEE_Soft_Vocab,"A computer system emulating the decision-making ability of a human expert through the use of reasoning, leveraging an encoding of domain-specific knowledge most commonly represented by sets of if-then rules rather than procedural code. The term “expert system” was used largely during the 1970s and ’80s amidst great enthusiasm about the power and promise of rule-based systems that relied on a “knowledge base” of domain-specific rules and rule-chaining procedures that map observations to conclusions or recommendations.",NSCAI,,
expertise,The accumulation of specialized knowledge is often called expertise. Passive expertise is a type of knowledge-based specialization that arises from experiences in life and one's position in a society or culture. Formal expertise is the result of a self-selection of a domain of knowledge that is mastered deliberately and for which there are clear benchmarks of success.,Schneider_McGrew_in_Flanagan_McDonough_2018,,,,,,,,,,
explainability,"The ability to provide a human interpretable explanation for a machine learning prediction and produce insights about the causes of decisions, potentially to line up with human reasoning. ",NISTIR_8269_Draft,"Within the context of AI, the extent to which AI decisioning processes and outcomes are reasonably understood.",Comptroller_Office,"A characteristic of an AI system in which there is provision of accompanying evidence or reasons for system output in a manner that is meaningful or understandable to individual users (as well as to developers and auditors) and reflects the system’s process for generating the output (e.g., what alternatives were considered, but not proposed, and why not).",NSCAI,,,,,interpretability,
explainer,Functionality for providing details on or causes for fairness metric results.,AI_Fairness_360,,,,,,,,,,
explanation,Systems deliver accompanying evidence or reason(s) for all outputs.,NISTIR_8269_Draft,"The explanation principle obligates AI systems to supply evidence, support, or reasoning for each output.",NISTIR_8312,,,,,,,,
exploratory,Exploratory Data Analysis (EDA) is an approach/philosophy for data analysis that employs a variety of techniques (mostly graphical) to 1. maximize insight into a data set; 2. uncover underlying structure; 3. extract important variables; 4. detect outliers and anomalies; 5. test underlying assumptions; 6. develop parsimonious models; and 7. determine optimal factor settings.,nist_statistics_2012,,,,,,,,,,
external validity,"the extent to which the results of research or testing can be generalized beyond the sample that generated them. The more specialized the sample, the less likely will it be that the results are highly generalizable to other individuals, situations, and time periods.",APA_external_validity,,,,,,,,,,
facial recognition (FR),"Face recognition algorithms, however, have no built-in notion of a particular person. They are not built to identify particular people; instead they include a face detector followed by a feature extraction algorithm that converts one or more images of a person into a vector of values that relate to the identity of the person. The extractor typically consists of a neural network that has been trained on ID-labeled images available to the developer. In operations, they act as generic extractors of identity-related information from photos of persons they have usually never seen before. Recognition proceeds as a differential operator: Algorithms compare two feature vectors and emit a similarity score. This is a vendor-defined numeric value expressing how similar the parent faces are. It is compared to a threshold value to decide whether two samples are from, or represent, the same person or not. Thus, recognition is mediated by persistent identity information stored in a feature vector (or “template”).",NISTIR_8280,,,,,,,,,,
fairness metric,A quantification of unwanted bias in training data or models.,AI_Fairness_360,"A mathematical definition of “fairness” that is measurable. Some commonly used fairness metrics include:

equalized odds
predictive parity
counterfactual fairness
demographic parity
Many fairness metrics are mutually exclusive; see incompatibility of fairness metrics.",google_glossary_2023,,,,,,,,
false negative,An example in which the predictive model mistakenly classifies an item as in the negative class.,NSCAI,an outcome where the model incorrectly predicts the negative class.,google_dev_classification-true-false-positive-negative,A false negative is denying an applicant who should be approved,"Varshney,_Kush","1. An instance in which a security tool intended to detect a particular threat fails to do so.
2. Incorrectly classifying malicious activity as benign.",CSRC_false_negative,,,Type II error (in statistics),
false positive,An example in which the model mistakenly classifies an item as in the positive class,NSCAI,an outcome where the model incorrectly predicts the positive class.,google_dev_classification-true-false-positive-negative, A false positive is approving an applicant who should be denied,"Varshney,_Kush","1. An alert that incorrectly indicates that a vulnerability is present.
2. An alert that incorrectly indicates that malicious activity is occurring.
3. An instance in which a security tool incorrectly classifies benign content as malicious.
4. Incorrectly classifying benign activity as malicious.
5. An erroneous acceptance of the hypothesis that a statistically significant event has been observed. This is also referred to as a type 1 error. This is also referred to as a type 1 error. When “health-testing” the components of a device, it often refers to a declaration that a component has malfunctioned – based on some statistical test(s) – despite the fact that the component was actually working correctly.",CSRC_false_positive,,,Type I error (in statistics),
fault tolerance ,The ability of a system or component to continue normal operation despite the presence of hardware or software faults,SP1011,,,,,,,,,,
favorable label,A label whose value corresponds to an outcome that provides an advantage to the recipient. The opposite is an unfavorable label.,AI_Fairness_360,,,,,,,,,,
feature,An attribute containing information for predicting the label.,AI_Fairness_360,,,,,,,,,,
feature extraction,a more general method in which one tries to develop a transformation of the input space onto the lowdimensional subspace that preserves most of the relevant information,khalid_feature_2014,,,,,,,,,,
feature importance,"how important the feature was for the classification performance of the model; 
a measure of the individual contribution of the corresponding feature for a particular classifier, regardless of the
shape (e.g., linear or nonlinear relationship) or direction of the feature effect",saarela_feature_2021,,,,,,,,,,
feature shift,"Unlike joint distribution shift detection, which cannot localize which features caused the shift, we define a new hypothesis test for each feature individually. Naïvely, the simplest test would be to check if the marginal distributions have changed for each feature (as explored by [25]); however, the marginal distribution would be easy for an adversary to simulate (e.g., by looping the sensor values from a previous day). Thus, marginal tests are not sufficient for our purpose. Therefore, we propose to use conditional distribution tests. More formally, our null and alternative hypothesis for the j-th feature is that its full conditional distribution (i.e., its distribution given all other features) has not shifted for all values of the other features.",kulinski_feature_2020,,,,,,,,,,
federated learning,"An approach to machine learning which addresses problems of data governance and privacy by training algorithms collaboratively without transferring the data to a central location. Each federated device trains on data locally and shares its local model parameters instead of sharing the training data. Different federated learning systems have different topologies that involve different ways of
sharing parameters.",TTC6_Taxonomy_Terminology,,,,,,,,,,
feedback loop,"describes the process of leveraging the output of an AI system and corresponding end-user actions in order to retrain and improve models over time. The AI-generated output (predictions or recommendations) are compared against the final decision (for example, to perform work or not) and provides feedback to the model, allowing it to learn from its mistakes.",C3.ai_feedback_loop,,,,,,,,,closed-loop learning,
fitting,Fitting is the process of verifying whether the data item value is in the previously specified interval.,OECD,,,,,,,,,,
firmware,Computer programs and data stored in hardware - typically in read-only memory (ROM) or programmable read-only memory (PROM) - such that the programs and data cannot be dynamically written or modified during execution of the programs.,SP800-37,Combination of a hardware device and computer instructions or computer data that reside as read only software on the hardware device.,IEEE_Soft_Vocab,,,,,,,,
Forecasting ,"Estimate or prediction of conditions and events in the project's future based on information and knowledge available at the time of the forecast. The information is based on the project's past performance and expected future performance, and includes information that could impact the project in the future, such as estimate at completion and estimate to complete.",IEEE_Soft_Vocab,,,,,,,,,,
fraud detection,"Monitoring the behavior of populations of users in order to estimate, detect, or avoid undesirable behavior.","Kou,_Yufeng",detecting and recognizing fraudulent activities as they enter systems and report them to a system manager.,Behdad,,,,,,,,
fully autonomous ,"Accomplishes its assigned mission, within a defined scope, without human intervention while adapting to operational and environmental conditions",SP1011,,,,,,,,,,
generative adversarial network (GAN),"Generative Adversarial Networks, or GANs for short, are an approach to generative modeling using deep learning methods, such as convolutional neural networks. Generative modeling is an unsupervised learning task in machine learning that involves automatically discovering and learning the regularities or patterns in input data in such a way that the model can be used to generate or output new examples that plausibly could have been drawn from the original dataset.","Brownlee,_Jason","A pair of jointly trained neural networks that generates realistic new data and improves through competition. One net creates new examples (fake Picassos, say) as the other tries to detect the fakes.","Hutson,_Matthew","Generative adversarial networks (GANs) consist of two competing neural networks—a generator network that tries to create fake outputs (such as pictures), and a discriminator network that tries to determine whether the outputs are real or fake. A major advantage of this structure is that GANs can learn from less data than other deep learning algorithms.",CRS_AI,"An approach to training AI models useful for applications like data synthesis, augmentation, and compression where two neural networks are trained in tandem: one is designed to be a generative network (the forger) and the other a discriminative network (the forgery detector). The objective is for each network to train and better itself off the other, reducing the need for big labeled training data.",NSCAI,,,,
global,A global explanation produces a model that approximates the non-interpretable model.,NISTIR_8312_Full,,,,,,,,,,
governance,"The actions to ensure stakeholder needs, conditions, and options are evaluated to determine balanced, agreed-upon enterprise objectives; setting direction through prioritization and decision-making; and monitoring performance and  ompliance against agreed-upon directions and objectives. AI governance may include policies on the nature of AI applications developed and deployed versus those limited or withheld.",NSCAI,"A system of laws, policies, frameworks, practices and processes at international, national and organizational levels. AI governance helps various stakeholders implement, manage, oversee and regulate the development, deployment and use of AI technology. It also helps manage associated risks to ensure AI aligns with stakeholders' objectives, is developed and used responsibly and ethically, and complies with applicable legal and regulatory requirements.",IAPP_Governance_Terms,,,,,,,,
graph,Diagram that represents the variation of a variable in comparison with that of one or more other variables. Diagram or other representation consisting of a finite set of nodes and internode connections called edges or arcs.,IEEE_Soft_Vocab,"A graph (sometimes called an undirected graph to distinguish it from a directed graph, or a simple graph to distinguish it from a multigraph) is a pair G = (V, E), where V is a set whose elements are called vertices (singular: vertex), and E is a set of paired vertices, whose elements are called edges (sometimes links or lines).",wikipedia_graph_2023,,,,,,,,
graphical processing unit (GPU),A specialized chip capable of highly parallel processing. GPUs are well-suited for running machine learning and deep learning algorithms. GPUs were first developed for efficient parallel processing of arrays of values used in computer graphics. Modern-day GPUs are designed to be optimized for machine learning.,NSCAI,,,,,,,,,,
ground truth,information provided by direct observation as opposed to information provided by inference,Collins_Dictionary_ground_truth,"value of the target variable for a particular item of labelledinput data","aime_measurement_2022, citing ISO/IEC 22989",,,,,,,,
group fairness,The goal of groups defined by protected attributes receiving similar treatments or outcomes.,AI_Fairness_360,,,,,,,,,,
hacker,Unauthorized user who attempts to or gains access to an information system.,"Reznik,_Leon",Technically sophisticated computer enthusiast who uses his or her knowledge and means to gain unauthorized access to protected resources.,IEEE_Soft_Vocab,,,,,,,,
hardware,"Physical equipment used to process, store, or transmit computer programs or data",IEEE_Soft_Vocab,,,,,,,,,,
harm,"An undesired outcome [whose] cost exceeds some threshold[; ...] the key points in the definition of safety are that: costs have to be sufficiently high in some human sense for events to be harmful, and that safety involves reducing both the probability of expected harms and the possibility of unexpected harms.",Engineering_safety_in_machine_learning,,,,,,,,,,
harmful bias,"Harmful bias can be either conscious or unconscious. Unconscious, also known as implicit bias, involves associations outside conscious awareness that lead to a negative evaluation of a person on the basis of characteristics such as race, gender, sexual orientation, or physical ability. Discrimination is behavior; discriminatory actions perpetrated by individuals or institutions refer to inequitable treatment of members of certain social groups that results in social advantages or disadvantages",humphrey_addressing_2020,,,,,,,,,,
human-assisted,"The type of human-robot-interaction that that refers to situations during which human interactions are needed at the level of detail of task plans, i.e., during the execution of a task",SP1011,,,,,,,,,,
human-computer interaction (HCI),methods and approaches for designing and architecting user interfaces and the interactions between humans and computer (or information) technology.,Poore_Lawrence_ARLIS_2023-01,,,,,,,,,,
human-cognitive bias,"Human-cognitive biases relate to how an individual or group perceives AI system information to make a decision or fill in missing information, or how humans think about purposes and functions of an AI system. Human biases are omnipresent in decision-making processes across the AI lifecycle and system use, including the design, implementation, operation, and maintenance of AI.",NIST_AI_RMF_1.0,"Systematic error in judgment and decision-making common to all human beings which can be due to cognitive limitations, motivational factors, and/or adaptations to natural environments.",,,,,,,,,
human-enabled machine learning,"Detection, correlation, and pattern recognition generated through machine-based observation of human operation of software systems capturing successful or unsuccessful operations to enable the creation of a useful predictive analytics capability. ",IEEE_Guide_IPA,,,,,,,,,,
human-in-the-loop,An AI system that requires human interaction.,DOD_Modeling_and_Simulation_Glossary,,,,,,,,,,
human-machine teaming (HMT),"The ability of humans and AI systems to work together to undertake complex, evolving tasks in a variety of environments with seamless handoff both ways between human and AI team members. Areas of effort include developing effective policies for controlling human and machine initiatives, computing methods that ideally complement people, methods that optimize goals of teamwork, and designs that enhance human-AI interaction.",NSCAI,"methods and approaches for coordinating the functions and actions of (semi) autonomous machine capabilities and human users, which are granted equal weighting.",Poore_Lawrence_ARLIS_2023-01,,,,,,,human-AI teaming,
